plz,city,lat,lng
01067,Dresden,51.05755,13.71706
01069,Dresden,51.03913,13.73767
01097,Dresden,51.06591,13.73615
01099,Dresden,51.08719,13.80280
01108,Weixdorf,51.14432,13.79971
01109,Klotzsche,51.11740,13.72831
01127,Dresden,51.07794,13.72244
01129,Dresden,51.09437,13.72054
01139,Dresden,51.07471,13.68463
01156,"Dresden Gompitz, Steinbach",51.08554,13.62768
01157,Dresden,51.06341,13.66783
01159,Dresden,51.04124,13.69775
01169,Dresden,51.04405,13.66660
01187,Dresden,51.02660,13.70907
01189,Dresden,51.01449,13.69722
01217,Dresden,51.01446,13.74396
01219,Dresden,51.02490,13.76781
01237,Dresden,51.01342,13.79134
01239,Dresden,50.99575,13.78869
01257,Dresden,50.99809,13.81398
01259,Dresden,51.00095,13.85643
01277,Dresden Striesen,51.03741,13.79646
01279,Dresden Tolkewitz,51.02295,13.83390
01307,Dresden,51.05668,13.76883
01309,Dresden,51.04913,13.78742
01324,Dresden,51.06187,13.85477
01326,Dresden,51.05413,13.81442
01328,Dresden,51.03348,13.89526
01445,Radebeul,51.11154,13.64332
01454,Radeberg,51.13722,13.91787
01458,Ottendorf-Okrilla,51.17511,13.82460
01465,Dresden,51.12610,13.84178
01468,Moritzburg,51.16768,13.66377
01471,Radeburg,51.20120,13.74033
01477,Arnsdorf,51.09461,13.98915
01558,Großenhain,51.28843,13.54419
01561,Lampertswalde,51.28346,13.67654
01587,Riesa,51.30380,13.26705
01589,Riesa,51.29756,13.30950
01591,Riesa,51.31705,13.25206
01594,Stauchitz,51.26068,13.23232
01609,Wülknitz,51.38906,13.41402
01612,Diesbar-Seußlitz,51.29918,13.39009
01616,Strehla,51.36397,13.21506
01619,Röderaue,51.35640,13.32511
01623,Ketzerbachtal,51.20212,13.27839
01640,Coswig,51.13159,13.56381
01662,Meißen,51.16330,13.47515
01665,Taubenheim,51.09541,13.46418
01683,Heynitz,51.07993,13.32311
01689,Niederau,51.18102,13.55094
01705,Freital,51.00026,13.64017
01723,Wilsdruff,51.05030,13.53621
01728,Bannewitz,50.99023,13.72441
01731,Kreischa,50.94429,13.75869
01734,Rabenau,50.94929,13.66686
01737,Tharandt,50.97007,13.53620
01738,Dorfhain,50.93083,13.55392
01744,Dippoldiswalde,50.87331,13.63656
01762,Hartmannsdorf-Reichenau,50.83028,13.55704
01768,Glashütte,50.85093,13.78032
01773,Altenberg,50.77663,13.73646
01774,Pretzschendorf,50.87291,13.52634
01776,Hermsdorf/Erzgebirge,50.76454,13.62600
01778,Geising,50.75693,13.79231
01796,Struppen,50.93971,13.96715
01809,Heidenau,50.95333,13.85478
01814,Reinhardtsdorf-Schöna,50.88828,14.19987
01816,Bad Gottleuba-Berggießhübel,50.84846,13.94071
01819,Bahretal,50.87448,13.94930
01824,Königstein/Sächsische Schweiz,50.87199,14.04256
01825,Liebstadt,50.86182,13.85219
01829,Stadt Wehlen,50.95784,14.02475
01833,Stolpen,51.04885,14.07909
01844,Hohwald,51.03555,14.22600
01847,Lohmen,50.98918,13.99633
01848,Hohnstein,50.98894,14.15591
01855,Sebnitz,50.97307,14.27302
01877,Schmölln-Putzkau,51.13443,14.20201
01896,Lichtenberg,51.19059,14.00510
01900,Großröhrsdorf,51.14655,14.02453
01904,Steinigtwolmsdorf,51.09697,14.30669
01906,Burkau,51.17573,14.17960
01909,Großharthau,51.10808,14.10530
01917,Kamenz,51.28412,14.11338
01920,Steina,51.24067,14.03283
01936,Haselbachtal,51.26567,13.90437
01945,Grünewald,51.45661,13.86426
01968,Schipkau,51.50503,13.96933
01979,Lauchhammer,51.50045,13.73994
01983,Neu-Seeland,51.58798,14.01097
01987,Schwarzheide,51.48090,13.85858
01990,Ortrand,51.37793,13.75760
01993,Schipkau Schipkau,51.51684,13.89773
01994,Schipkau,51.56111,13.89658
01996,Hosena,51.45506,14.02566
01998,Schipkau,51.54108,13.89215
02625,Bautzen,51.18159,14.42300
02627,Weißenberg,51.14858,14.56955
02633,Doberschau-Gaußig,51.17798,14.32045
02681,Crostau,51.09724,14.39358
